8, 8.088260
256, 4.783728
256, 4.981016
256, 5.799335
256, 4.885698
256, 5.149762
256, 4.682392
256, 5.091663
512, 6.488397
512, 6.181566
512, 6.237605
512, 6.272564
100, 5.016372
100, 4.307614
100, 4.489363
100, 4.015324
64, 3.598517
64, 4.816120
64, 4.312865
64, 4.046399
32, 4.259043
32, 3.777881
32, 3.989465
32, 4.183753
16, 4.075194
16, 4.202393
16, 4.216072
16, 4.255412
1, 34.314188
1, 34.356651
1, 34.317524
1, 34.365065
2, 17.506615
2, 17.530919
2, 17.487865
2, 17.517715
4, 8.982377
4, 9.093422
4, 9.337884
4, 9.104570
8, 5.022916
8, 5.160376
8, 5.158283
8, 5.000792

